Scientificname,Commonname,SIGNAL_art,RL2020kat,Giftsvamp,Nyasvamp-boken,ekologi,Kriteriedokumentation
Aureoboletus moravicus,lejonsopp,,EN,,,,"Mykorrhiza. Växer med ek i kalkrik och luckig, varm ädellövskog. I Sverige endast funnen vid två olika tillfällen i Halltorps hage på Ã–land. Tidigare sammanblandad med andra sammetssoppar och mikroskopisk undersökning krävs för säker bestämning varför status och utbredning ännu dåligt känd. En värmeberoende art som i Sverige troligen befinner sig på gränsen av sitt utbredningsområde. Antalet reproduktiva individer skattas till 500 (40-1000). Antalet lokalområden i landet skattas till 25 (2-50). Förekomstarean (AOO) skattas till 100 (8-200) kmÂ². En minskning av populationen pågår eller förväntas ske. Beroende på vilka av de skattade värdena som används varierar bedömningen från Starkt hotad (EN) till Akut hotad (CR). Baserat på de troligaste värdena hamnar arten i kategorin Starkt hotad (EN). Fortgående minskning förekommer i kombination med att antalet reproduktiva individer är lågt vilket gör att arten hamnar i kategorin Starkt hotad (EN). (C2a(i))."
Tricholoma boreosulphurescens,musseron ,,DD,,,,"Bildar mykorrhiza med björk i frisk till fuktig lövskog och blandskog. Utbredningen är nordlig, med ytterst få bekräftade fynd i landet (Norrbotten). En nyligen beskriven art som brutits ut från den sydliga bokskogsarten T. sulphurescens s.str. Kunskap om utbredning och ekologi är bristfällig, men de få bekräftade fynd som finns är gjorda i skogar som aldrig tidigare har kalavverkats. Misstänks ha svårt att etableras i planterade skogar efter avverkning. Faktaunderlaget bedöms vara otillräckligt för att avgöra vilken av de olika rödlistningskategorierna som är mest trolig."
Cortinarius viridicoeruleus,spindelskivling,S,NE,,,,
Cortinarius parasuaveolens,blåslöjad spökspindling,,EN,,,,"Bildar mykorrhiza med hassel i kalkrika, mosaikartade och hasseldominerade lågskogar, s.k. hässlen. I landet finns endast ett väldokumenterat och DNA-sekvenserat fynd gjort i Mittlandsskogen på Ã–land, i övriga Nordeuropa endast känd genom ett fynd i Norge. På samma lokal finns bl.a. djävulssopp och en lång rad andra sällsynta och rödlistade svampar. Säkerligen extremt sällsynt och med mycket liten population i landet. Antalet reproduktiva individer skattas till 200 (20-400). Antalet har skattats genom att multiplicera tre faktorer: 1) Troliga antalet aktuella lokaler i landet (10). 2) Bedömt antal unika mycel/lokal (2). 3) En schablon för hur många fragmenterade enheter varje unikt mycel bedöms ge upphov till (10). Antalet lokalområden i landet skattas till 10 (1-20). Beroende på vilka av de skattade värdena som används varierar bedömningen från Sårbar (VU) till Akut hotad (CR). Baserat på de troligaste värdena hamnar arten i kategorin Starkt hotad (EN). Antalet individer bedöms vara lägre än gränsvärdet för Starkt hotad (EN) enligt D-kriteriet. (D)."
Polyozellus umbrinascens,tomentelloid svamp,,DD,,,,Nybeskriven art med endast ett fynd från typlokalen i Bohuslän. Den är svårbestämd och liknar mycket med den vanliga P. umbrina. Faktaunderlaget bedöms vara otillräckligt för att avgöra vilken av de olika rödlistningskategorierna som är mest trolig.
Cortinarius blattoi,lappspindling,S,LC,,,,"Bildar mykorrhiza med gran och björk i medelrik-rik barrskog och fjällbjörkskog, i Norge sällsynt även med dvärgbjörk på fjällhed. Fruktifierar tidigt på säsongen. Relativt nyligen uppmärksammad i landet, sällsynt och med få fynd gjorda i Jämtland, Ã…ngermanland och Lule lappmark. Stor iögonfallande art som påminner om jättespindling, C. praestans. Den totala populationen i landet bedöms trots höga mörkertal som liten och missgynnad av fr.f.a. slutavverkningar av barrskog. De mindre kända förekomsterna i fjällbjörkskog, som i Norge utgör huvuddelen av populationen, gör att arten preliminärt bedöms som LC. De skattade värdena som bedömningen baserar sig på ligger alla inom intervallet för kategorin Livskraftig (LC)."
Amphinema diadema,brunt kraterskinn,,DD,,,,"Mykorrhizasvamp, troligen med gran i barrskog där den bildar fruktkroppar på ved. 2 fynd i Sverige, båda före 1985. Uppenbart en sällsynt eller sällsynt fruktifierande skinnsvamp. I Europa bl a känd från Norge, Polen och Italien. Förefaller ovanlig i hela Europa. Faktaunderlaget bedöms vara otillräckligt för att avgöra vilken av de olika rödlistningskategorierna som är mest trolig."
Polyozellus vepallidosporus,tomentelloid svamp,,DD,,,,"Arten förefaller sällsynt, och det finns mycket få fynd i Sverige. Men den verkar klart knuten till gammal barrskog i fuktiga lägen. Kunskapsläget är dåligt, bland annat eftersom det krävs att man försiktigt vänder på lågor för att hitta arten. Faktaunderlaget bedöms vara otillräckligt för att avgöra vilken av de olika rödlistningskategorierna som är mest trolig."
Inocybe bresadolae,trådskivling,,DD,,,,Mykorrhizabildare i kalkrik ädellövskog. Bara känd genom två fynd i landet (Skåne och Gotland) varav det gotländska verifierat genom DNA-sekvensering. Ã–vriga kunskaper om status och ekologi bristfällig men uppenbarligen en mycket sällsynt art. Faktaunderlaget bedöms vara otillräckligt för att avgöra vilken av de olika rödlistningskategorierna som är mest trolig.
Cortinarius cordatae,fyllitspindling,,CR,,,,"Bildar mykorrhiza med lind, möjligen även ek och hassel i ädellövskog och mosaikmarker på kalkrik mark. I världen med säkerhet enbart känd under lind i Oslofjorden och på skalgrus på Lammön, Bohuslän samt från Kinnekulle, Västergötland. En stor svamp som växer i en väl undersökt miljö men som verkar bilda fruktkroppar endast vissa år och därmed har ett visst mörkertal. Hotas av mycket liten population och alla förändringar på dess fåtaliga lokaler. Antalet reproduktiva individer skattas till 200 (60-400). Antalet har skattats genom att multiplicera tre faktorer: 1) Troliga antalet aktuella lokaler i landet (10). 2) Bedömt antal unika mycel/lokal (2). 3) En schablon för hur många fragmenterade enheter varje unikt mycel bedöms ge upphov till (10). Antalet lokalområden i landet skattas till 10 (2-20). Förekomstarean (AOO) skattas till 100 (8-200) kmÂ². En minskning av populationen pågår eller förväntas ske. Beroende på vilka av de skattade värdena som används varierar bedömningen från Starkt hotad (EN) till Akut hotad (CR). Baserat på de troligaste värdena hamnar arten i kategorin Akut hotad (CR). Fortgående minskning förekommer i kombination med att antalet reproduktiva individer är lågt vilket gör att arten hamnar i kategorin Akut hotad (CR). (C2a(i))."
Ramaria flava var. flava,gul fingersvamp,,EN,,,,Bildar mykorrhiza med bok i örtrik ädellövskog. Känd genom ett enda mycel i en gammal bokskog på alunskiffer i Skåne. Arten är sydlig och nyligen uppmärksammad i landet men uppenbarligen mycket sällsynt och med liten total population i landet motsvarande CR/EN på D-kriteriet. Artkomplexet kring gula fingersvampar R. flava s.lat. är nyligen uppmärksammade i ett taxonomiskt projekt i Norge vilket bidragit till ökade kunskaper. Detaljerna kring de olika formerna och deras status är dock fortfarande till vissa delar bristfälligt kända. Antalet reproduktiva individer skattas till 200 (20-400). Antalet har skattats genom att multiplicera tre faktorer: 1) Troliga antalet aktuella lokaler i landet (10). 2) Bedömt antal unika mycel/lokal (2). 3) En schablon för hur många fragmenterade enheter varje unikt mycel bedöms ge upphov till (10). Antalet lokalområden i landet skattas till 10 (1-20). Beroende på vilka av de skattade värdena som används varierar bedömningen från Sårbar (VU) till Akut hotad (CR). Baserat på de troligaste värdena hamnar varieteten i kategorin Starkt hotad (EN). Antalet individer bedöms vara lägre än gränsvärdet för Starkt hotad (EN) enligt D-kriteriet. (D).
Polyozellus alobatus,tomentelloid svamp,,DD,,,,"Nybeskriven art som tidigare angetts som Pseudotomentella tritis, ett taxon som visat sig innehålla flera arter. Få fynd i Norden, knuten till äldre skog på rik mark. Faktaunderlaget bedöms vara otillräckligt för att avgöra vilken av de olika rödlistningskategorierna som är mest trolig."
Cortinarius tiliae,lindspindling,S,NA,,,,Svensk förekomst: Har inte påträffats i landet.
Cortinarius violaceipes,spindelskivling,,CR,,,,"Bildar mykorrhiza med ek på kalkrik mark i fuktig blandad ädellövskog. I Sverige funnen endast en gång, i Mittlandsskogen på Ã–land 2007. Fyndlokalen, som också var en ågp-lokal med bl.a. C. odoratus, C. humolens m.fl. extremt sällsynta arter är sedemera slutavverkad. Det är okänt vilka av arterna som överlevt och ev. är C. violaceipes försvunnen från landet. Antalet reproduktiva individer skattas till 200 (20-400). Antalet har skattats genom att multiplicera tre faktorer: 1) Troliga antalet aktuella lokaler i landet (10). 2) Bedömt antal unika mycel/lokal (2). 3) En schablon för hur många fragmenterade enheter varje unikt mycel bedöms ge upphov till (10). Antalet lokalområden i landet skattas till 10 (1-20). En minskning av populationen pågår eller förväntas ske. Minskningen avser kvalitÃ©n på artens habitat. Beroende på vilka av de skattade värdena som används varierar bedömningen från Starkt hotad (EN) till Akut hotad (CR). Baserat på de troligaste värdena hamnar arten i kategorin Akut hotad (CR). Fortgående minskning förekommer i kombination med att antalet reproduktiva individer är lågt vilket gör att arten hamnar i kategorin Akut hotad (CR). (C2a(i))."
Tomentella italica,tomentelloid svamp,,DD,,,,"Endast funnen en gång i Sverige, i Munkängarnas naturreservat, Kinnekulle. Få fynd i Norden, trots riktade eftersök av gruppen. Verkar vara knuten till kalkrika miljöer. Faktaunderlaget bedöms vara otillräckligt för att avgöra vilken av de olika rödlistningskategorierna som är mest trolig."
Sclerogaster compactus s.lat.,hårdtryffel,,DD,,,,Underjordisk svamp som bildar mykorrhiza med lövträd i ädellövskog. Endast några få fynd i landet av vardera S. compactus och S. hysterangoides. Uppenbarligen ytterst sällsynta arter knuten till exklusiv växtmiljö. Pågående taxonomisk revision av tryfflar i Sverige kommer förhoppningsvis klarlägga status i landet för de ingående arterna. Faktaunderlaget bedöms vara otillräckligt för att avgöra vilken av de olika rödlistningskategorierna som är mest trolig.
Polyozellus pinophilus,tomentelloid svamp,,DD,,,,"Nybeskriven art som tidigare angetts som Pseudotomentella tritis, ett taxon som visat sig innehålla flera arter. Få fynd i Norden, knuten till äldre skog på kalkrik mark. Faktaunderlaget bedöms vara otillräckligt för att avgöra vilken av de olika rödlistningskategorierna som är mest trolig."
Polyozellus rotundisporus,tomentelloid svamp,,DD,,,,"Nybeskriven art som tidigare gått under namnet Pseudotomentella tritis, ett taxon som visat sig innehålla flera arter. Få fynd i Norden, knuten till äldre skog på kalkrik mark. Faktaunderlaget bedöms vara otillräckligt för att avgöra vilken av de olika rödlistningskategorierna som är mest trolig."
Cortinarius molochinus,syrenblå spindling,,VU,,,,"Bildar mykorrhiza med ek och ev. lind och hassel i ädellövskogar på skalgrus och eventuellt med hassel i varma hässlen på kalkrik mark. Endast känd från Lammön (Bohuslän) och materialet är säkerställt med DNA-sekvens. Uppenbarligen mycket ovanlig, knuten till exklusiva miljöer och med mycket liten population i landet. Svårt att bedöma status och ev. populationsförändringar på det lilla fyndunderlaget. Antalet reproduktiva individer skattas till 250 (10-500). Antalet har skattats genom att multiplicera tre faktorer: 1) Troliga antalet aktuella lokaler i landet (50). 2) Bedömt antal unika mycel/lokal (2). 3) En schablon för hur många fragmenterade enheter varje unikt mycel bedöms ge upphov till (10). Antalet lokalområden i landet skattas till 25 (1-50). Beroende på vilka av de skattade värdena som används varierar bedömningen från Sårbar (VU) till Akut hotad (CR). Baserat på de troligaste värdena hamnar arten i kategorin Sårbar (VU). Antalet individer bedöms vara lägre än gränsvärdet för Sårbar (VU) enligt D-kriteriet. (D1)."
Polyozellus plurilobus,tomentelloid svamp,,DD,,,,"Nybeskriven art som tidigare gått under namnet Pseudotomentella tritis, ett taxon som visat sig innehålla flera arter. Få fynd i Norden, knuten till äldre skog på intermediär till rik mark. Faktaunderlaget bedöms vara otillräckligt för att avgöra vilken av de olika rödlistningskategorierna som är mest trolig."
Cortinarius flavidolilacinus,spindelskivling,S,NA,,,,"Svensk förekomst: Bofast och reproducerande, Svensk invandringshistoria: Spontan."
